DATA,Precipitacao
05/2005,14
06/2005,63
07/2005,0
08/2005,21
09/2005,47
10/2005,64
11/2005,311
12/2005,303
01/2006,274
02/2006,175
03/2006,219
04/2006,28
05/2006,1
06/2006,1
07/2006,0
08/2006,1
09/2006,125
10/2006,359
11/2006,256
12/2006,698
01/2007,574
02/2007,341
03/2007,77
04/2007,51
05/2007,7
06/2007,0.04
07/2007,39
08/2007,0
09/2007,21
10/2007,169
11/2007,206
12/2007,0.46
01/2008,331
02/2008,0.37
03/2008,377
04/2008,227
05/2008,131
06/2008,7
07/2008,0
08/2008,0
09/2008,27
10/2008,152
11/2008,112
12/2008,0.3
01/2009,312
02/2009,239
03/2009,0.18
04/2009,116
05/2009,79
06/2009,0.04
07/2009,13
08/2009,45
09/2009,0.15
10/2009,116
11/2009,224
12/2009,0.43
01/2010,269
02/2010,205
03/2010,224
04/2010,151
05/2010,29
06/2010,18
07/2010,2
08/2010,0
09/2010,0
10/2010,175
11/2010,385
12/2010,0.31
01/2011,352
02/2011,232
03/2011,584
04/2011,183
05/2011,0.07
06/2011,26
07/2011,1
08/2011,1
09/2011,6
10/2011,105
11/2011,203
12/2011,366
01/2012,401
02/2012,255
03/2012,262
04/2012,162
05/2012,121
06/2012,77
07/2012,26
08/2012,0
09/2012,43
10/2012,97
11/2012,326
12/2012,266
01/2013,304
02/2013,479
03/2013,261
04/2013,201
05/2013,0
06/2013,0.23
07/2013,1
08/2013,9
09/2013,13
10/2013,179
11/2013,181
12/2013,518
01/2014,151
02/2014,185
03/2014,73
04/2014,252
05/2014,18
06/2014,3
07/2014,41
08/2014,65
09/2014,15
10/2014,48
11/2014,345
12/2014,379
01/2015,0.11
02/2015,337
03/2015,389
04/2015,215
05/2015,84
06/2015,38
07/2015,11
08/2015,0
09/2015,54
10/2015,65
11/2015,0.42
12/2015,287
01/2016,638
02/2016,204
03/2016,305
04/2016,95
05/2016,0.05
06/2016,95
07/2016,0
08/2016,61
09/2016,6
10/2016,199
11/2016,285
12/2016,416
01/2017,289
02/2017,265
03/2017,288
04/2017,72
05/2017,104
06/2017,0
07/2017,0
08/2017,0
09/2017,0
10/2017,104
11/2017,404
12/2017,315
01/2018,321
02/2018,254
03/2018,179
04/2018,113
05/2018,45
06/2018,0
07/2018,0
08/2018,14
09/2018,51
10/2018,193
11/2018,438
12/2018,562
01/2019,203
02/2019,275
03/2019,202
04/2019,88
05/2019,88
06/2019,0
07/2019,0
08/2019,9
09/2019,0
10/2019,124
11/2019,175
12/2019,644
01/2020,386
02/2020,393
03/2020,361
04/2020,86
05/2020,0
06/2020,0
07/2020,0
08/2020,0
09/2020,0
10/2020,75
11/2020,175
12/2020,691
01/2021,307
02/2021,221
03/2021,375
04/2021,59
